id,school,sex,homework,grade,lessons,ethn5
1R10,school1,F,2,-0.638511183455672,4,mena
1R11,school1,M,3,-0.396403871902449,2,mena
1R12,school1,F,1,0.570344073535692,2,europe
1R14,school1,F,2,0.989677730850164,3,auto
1R15,school1,M,4,0.542020622023862,2,auto
1R16,school1,F,3,0.0460584486328541,2,europe
1R17,school1,F,3,0.278595278853296,2,subsah
1R18,school1,F,3,-0.365860241162521,3,mena
1R2,school1,F,4,0.346170636912361,2,mena
1R20,school1,M,2,-0.114225558552834,3,mena
1R21,school1,F,3,0.448916795364715,2,auto
1R22,school1,M,3,1.49545980931522,2,europe
1R23,school1,M,3,-1.5408092658646,2,subsah
1R25,school1,F,2,0.412582017512011,2,mena
1R26,school1,M,2,0.539800442795764,1,auto
1R27,school1,M,3,-0.57630305479269,1,mena
1R28,school1,M,4,-0.385195200071293,4,mena
1R29,school1,F,4,-0.492518232854711,4,subsah
1R30,school1,F,2,0.882268477514205,4,europe
1R32,school1,F,1,-0.288800622323248,4,auto
1R33,school1,M,3,-1.4304038483276,2,mena
1R34,school1,F,3,-0.46001308454431,1,subsah
1R35,school1,F,3,-0.652265157848496,1,subsah
1R36,school1,M,1,0.609121767043903,4,europe
1R37,school1,F,2,-0.409293844508296,2,subsah
1R4,school1,M,3,0.031767392048127,2,mena
1R40,school1,F,2,0.0281245737029923,4,mena
1R42,school1,M,2,0.252578227122106,1,subsah
1R45,school1,M,2,0.370549498145146,2,auto
1R49,school1,F,4,0.410620499941568,1,mena
1R5,school1,M,3,0.732891370225763,4,auto
1R50,school1,F,3,-0.306454280457328,2,mena
1R51,school1,F,3,0.53167415571818,1,mena
1R52,school1,M,2,-1.50466129920909,2,mena
1R54,school1,M,3,-0.591714978560544,1,subsah
1R55,school1,M,2,1.1758925692145,2,auto
1R56,school1,F,1,0.18252402817732,4,auto
1R57,school1,M,3,1.05666032261046,1,auto
1R58,school1,F,2,1.35961470981856,2,auto
1R59,school1,F,4,0.878498483854059,2,auto
1R60,school1,F,3,-0.0466933107700558,1,mena
1R61,school1,M,2,0.427433507688333,3,mena
1R63,school1,F,3,-0.537913353770929,4,mena
1R64,school1,M,3,0.867313830605391,2,europe
1R66,school1,F,3,1.4397567134114,3,auto
1R69,school1,F,1,0.812171168293134,4,other
1R7,school1,M,4,0.0213993706042868,2,mena
1R70,school1,F,1,-0.244246151794346,3,other
1R71,school1,F,2,0.564459520824332,2,subsah
1R72,school1,M,1,-0.957117680256574,2,europe
1R73,school1,M,2,-1.51222715269512,3,auto
1R74,school1,F,1,-1.96449706108271,4,auto
1R75,school1,M,3,0.620502879980173,3,subsah
1R77,school1,F,3,0.753302289779843,2,subsah
1R78,school1,M,2,-2.07750849482045,3,subsah
1R79,school1,F,3,-1.29702065353672,1,subsah
1R8,school1,M,3,-0.85203638183938,2,mena
1R80,school1,F,3,1.22796978295314,4,auto
1R81,school1,M,2,-0.518017961270624,1,auto
1R82,school1,M,3,-0.0237155335161494,1,auto
1R83,school1,M,1,0.113590696415632,3,other
1R9,school1,M,2,0.505333776914921,4,mena
2R2,school1,F,2,-0.183525327662814,4,auto
2R3,school1,M,2,-1.45478270956039,4,auto
2R5,school1,F,3,1.3598348801581,2,auto
2R7,school1,M,2,0.33131914673607,2,europe
3R1,school1,M,4,-0.122912279221983,3,subsah
4R1,school1,F,4,0.838838466691436,2,auto
4R3,school1,F,1,0.648481449281806,2,auto
4R4,school1,M,2,-1.57359463097076,2,mena
4R5,school1,F,4,-0.229114444822273,1,auto
4R6,school1,F,2,-2.10656697654275,3,mena
6R1,school1,M,2,1.02905896822619,4,europe
6R7,school1,F,4,-0.0822808438339967,2,other
6R8,school1,M,4,-1.50241956484285,3,mena
6R9,school1,M,4,1.28657820354727,1,europe
