id,school,sex,classroom,homework,lessons,grade,ethn5
1P1,school2,M,3C,4,2,1.45478865787589,auto
1P10,school2,M,3F,4,2,-1.4892429958705,europe
1P100,school2,F,3G,3,3,-0.401954556304634,europe
1P102,school2,M,3D,2,3,0.523939505513195,auto
1P103,school2,F,3C,1,3,-1.35757916139181,europe
1P104,school2,F,3F,1,4,1.03785318202676,auto
1P106,school2,F,3F,3,2,0.434747875705052,auto
1P107,school2,F,3D,3,2,0.341309025429859,auto
1P108,school2,F,3G,2,2,-0.767215516471305,mena
1P109,school2,M,3C,3,2,-0.278785162760044,europe
1P11,school2,M,3B,3,2,-0.508135067980977,auto
1P111,school2,M,3D,2,1,-0.0112102733356624,auto
1P112,school2,F,3C,1,3,0.493147157127048,mena
1P113,school2,F,3G,2,4,0.0397563722690307,auto
1P114,school2,M,3G,3,2,-2.61900364010694,auto
1P116,school2,M,3E,2,4,-1.4637596730682,europe
1P117,school2,F,3B,3,3,0.22238685235232,auto
1P118,school2,F,3B,3,1,1.60698072461201,auto
1P12,school2,F,3C,1,2,-0.932857114686395,mena
1P120,school2,M,3E,3,2,-0.529371170316274,auto
1P121,school2,F,3D,1,1,-0.147121328281355,auto
1P122,school2,F,3E,3,2,0.676839442327134,auto
1P123,school2,M,3B,2,3,0.21389241141822,auto
1P124,school2,F,3B,2,4,0.587647812518991,europe
1P125,school2,F,3B,3,1,0.952554837646731,auto
1P127,school2,M,3G,2,2,-0.333999028831741,auto
1P129,school2,M,3D,2,3,1.46257522873217,europe
1P13,school2,F,3C,3,3,0.216723891729587,auto
1P131,school2,F,3C,2,2,1.48982822672909,auto
1P132,school2,M,3D,3,1,0.685333883261234,auto
1P133,school2,M,3E,3,2,-1.9819205700488,europe
1P134,school2,M,3F,4,2,-0.295774044628291,europe
1P136,school2,F,3D,4,4,-0.287279603694144,mena
1P137,school2,M,3C,1,2,1.02263397535313,auto
1P138,school2,M,3B,3,1,0.515445064579095,subsah
1P139,school2,M,3G,2,2,-0.894632130482898,auto
1P143,school2,M,3E,3,2,0.277600718424063,auto
1P144,school2,F,3C,3,3,-0.0579296984732587,mena
1P145,school2,M,3D,1,2,1.60273350414496,auto
1P146,school2,F,3C,2,2,-0.0366935961379621,auto
1P147,school2,F,3C,3,3,-0.287279603694144,europe
1P149,school2,M,3C,3,1,0.789036849665143,auto
1P15,school2,M,3E,3,1,0.608883914854288,auto
1P150,school2,F,3F,4,3,-0.32444278278089,auto
1P152,school2,M,3B,3,3,-0.568445598613143,europe
1P153,school2,F,3F,1,3,-2.66378822036509,europe
1P154,school2,M,3G,4,2,-0.983823760291041,auto
1P155,school2,F,3B,1,1,0.58892197865912,auto
1P156,school2,M,3F,2,3,-0.707754429932512,auto
1P157,school2,M,3D,4,4,-0.818182162075952,auto
1P158,school2,F,3F,4,2,-0.242683788790096,auto
1P159,school2,F,3F,2,1,0.972021264787411,auto
1P16,school2,M,3F,3,2,0.247870175154666,auto
1P160,school2,M,3B,2,2,1.47814837044469,other
1P162,school2,M,3D,1,3,-0.635551681992616,subsah
1P163,school2,M,3F,2,2,-0.0494352575391123,auto
1P164,school2,M,3G,3,2,-1.25989309064957,europe
1P165,school2,M,3B,3,2,0.587647812518991,mena
1P166,school2,M,3G,4,1,-0.372224013035238,auto
1P167,school2,M,3F,3,2,-1.47650133446935,europe
1P169,school2,F,3D,3,1,0.889200465679867,europe
1P17,school2,M,3B,3,3,0.345202310857976,auto
1P171,school2,F,3B,3,4,0.851329416515302,auto
1P172,school2,F,3E,3,1,0.934645724677334,europe
1P174,school2,F,3C,1,2,1.19783181961911,auto
1P175,school2,F,3F,3,2,1.74678506498587,auto
1P176,school2,M,3D,2,2,1.34790027612173,auto
1P179,school2,M,3C,2,3,1.65723950013884,auto
1P18,school2,F,3G,3,2,-0.809687721141852,europe
1P181,school2,M,3B,3,2,0.821244938206973,auto
1P182,school2,M,3E,3,3,0.137442443011274,auto
1P183,school2,M,3E,3,3,0.787267174470574,auto
1P19,school2,F,3D,3,2,0.286095159358163,auto
1P2,school2,F,3D,3,1,1.764127881893,auto
1P20,school2,M,3G,3,2,0.145936883945374,auto
1P21,school2,F,3F,4,4,-0.125885225946105,auto
1P23,school2,M,3E,3,3,0.00577860853258384,auto
1P24,school2,F,3F,4,1,0.20964519095117,auto
